id,date,team1,team2,toss_winner,decision,first_score,first_wkts,second_score,second_wkts,winner,winning_margin,player_of_the_match,most_runs,most_wkts
60,"May 11,2024",Kolkata Knight Riders,Mumbai Indians,MI,Field,157,7,139,8,Kolkata Knight Riders,18 RUNS,Varun Chakravarthy,Venkatesh Iyer,Varun Chakravarthy
61,"May 12,2024",Rajasthan Royals,Chennai Super Kings,RR,Bat,141,5,145,5,Chennai Super Kings,5 WICKETS,Simarjeet Singh,Riyan Parag,Simarjeet Singh
62,"May 12,2024",Royal Challengers Bengaluru,Delhi Capitals,DC,Field,187,9,140,10,Royal Challengers Bengaluru,47 RUNS,Cameron Green,Axar Patel,Yash Dayal
63,"May 13,2024",Gujarat Titans,Kolkata Knight Riders,No Toss,None,0,0,0,0,Abandoned,MATCH ABANDONED,None,None,None
64,"May 14,2024",Delhi Capitals,Lucknow Super Giants,LSG,Field,208,4,189,9,Delhi Capitals,19 RUNS,Ishant Sharma,Nicholas Pooran,Ishant Sharma
65,"May 15,2024",Rajasthan Royals,Punjab Kings,RR,Bat,144,9,145,5,Punjab Kings,5 WICKETS,Sam Curran,Sam Curran,Rahul Chahar
66,"May 16,2024",Sunrisers Hyderabad,Gujarat Titans,No Toss,None,0,0,0,0,Abandoned,MATCH ABANDONED,None,None,None
67,"May 17,2024",Lucknow Super Giants,Mumbai Indians,MI,Field,214,6,196,6,Lucknow Super Giants,18 RUNS,Nicholas Pooran,Nicholas Pooran,Nuwan Thushara
68,"May 18,2024",Royal Challengers Bengaluru,Chennai Super Kings,CSK,Field,218,5,191,7,Royal Challengers Bengaluru,27 RUNS,Faf du Plessis,Rachin Ravindra,Yash Dayal
69,"May 19,2024",Punjab Kings,Sunrisers Hyderabad,PBKS,Bat,214,5,215,6,Sunrisers Hyderabad,4 WICKETS,Abhishek Sharma,Prabhsimran Singh,T Natarajan
70,"May 19,2024",Rajasthan Royals,Kolkata Knight Riders,KKR,None,0,0,0,0,Abandoned,MATCH ABANDONED,None,None,None
71,"May 21,2024",Sunrisers Hyderabad,Kolkata Knight Riders,SRH,Bat,159,10,164,2,Kolkata Knight Riders,8 WICKETS,Mitchell Starc,Shreyas Iyer,Mitchell Starc
72,"May 22,2024",Royal Challengers Bengaluru,Rajasthan Royals,RR,Field,172,8,174,6,Rajasthan Royals,4 WICKETS,Ravichandran Ashwin,Yashasvi Jaiswal,Avesh Khan
73,"May 24,2024",Sunrisers Hyderabad,Rajasthan Royals,RR,Field,175,9,139,7,Sunrisers Hyderabad,36 RUNS,Shahbaz Ahmed,Dhruv Jurel ,Shahbaz Ahmed
74,"May 26,2024",Sunrisers Hyderabad,Kolkata Knight Riders,SRH,Bat,113,10,114,2,Kolkata Knight Riders,8 WICKETS,Mitchell Starc,Venkatesh Iyer,Andre Russell
